Time (s),Latency (ms),FPS
0.06296443939208984,62.964439392089844,15.881980521939324
0.13193917274475098,22.74632453918457,43.96314658560872
0.15932369232177734,21.19588851928711,47.17896110323727
0.19396471977233887,28.076887130737305,35.616483955062286
0.22972583770751953,30.214786529541016,33.09637812672611
0.2661316394805908,31.00419044494629,32.25370460085665
0.3035590648651123,31.389713287353516,31.85757037172067
0.33426904678344727,25.1922607421875,39.69473046638401
0.3679354190826416,27.90665626525879,35.833744841903815
0.4183237552642822,42.74177551269531,23.39631398098978
0.45101261138916016,27.158021926879883,36.82153297807899
0.493424654006958,36.20481491088867,27.620635610520633
0.5265753269195557,26.607275009155273,37.583705947185905
0.5549032688140869,23.260116577148438,42.992045920459205
0.585411548614502,25.47907829284668,39.24788756117417
0.6159687042236328,25.551795959472656,39.13619228903072
0.6442902088165283,23.250341415405273,43.010121104605254
0.6728191375732422,22.892475128173828,43.68247620237872
0.7018191814422607,23.8955020904541,41.848880019955104
0.7320458889007568,25.17104148864746,39.728193227563345
0.7623424530029297,25.244951248168945,39.61188081409076
0.7924392223358154,25.58159828186035,39.09059899158411
0.82167649269104,23.366928100585938,42.79552689576361
0.849724531173706,23.375988006591797,42.778940497317585
0.8816189765930176,27.879714965820312,35.86837244304577
0.9138209819793701,25.337934494018555,39.46651611385556
0.9428377151489258,21.889925003051758,45.68311676995632
0.9739470481872559,24.646282196044922,40.57407084953663
1.0021865367889404,24.17778968811035,41.36027374296167
1.0292470455169678,21.4540958404541,46.61114630216147
1.0570182800292969,22.30978012084961,44.82339111291598
1.0855185985565186,22.71246910095215,44.0286785005721
1.113762378692627,24.245500564575195,41.244766109761734
1.2593486309051514,141.066312789917,7.088864663877974
1.3089051246643066,43.43819618225098,23.021213767817645
1.3571865558624268,40.75479507446289,24.536990019773253
1.403568983078003,41.35632514953613,24.18009812003851
1.4503586292266846,41.55540466308594,24.064258502776884
1.505711555480957,47.792673110961914,20.923709324194217
1.548342227935791,37.305593490600586,26.805631714503008
1.5923097133636475,38.67530822753906,25.856290378261082
1.6367239952087402,40.87209701538086,24.466569445254624
1.6812834739685059,39.84427452087402,25.097708818267222
1.7328665256500244,43.62154006958008,22.924454258261278
1.7778947353363037,40.23408889770508,24.85454567002856
1.8261795043945312,42.02008247375488,23.798144628216402
1.8706433773040771,38.89656066894531,25.70921394596185
1.920198917388916,45.35555839538574,22.048014298104974
1.9752614498138428,48.19297790527344,20.749910951042864
2.0239412784576416,43.53761672973633,22.968643557307924
2.083487033843994,55.04631996154785,18.166518682784638
2.111795663833618,22.379636764526367,44.683477686513896
2.2644479274749756,146.90351486206055,6.807189065142382
2.3606202602386475,85.54983139038086,11.689093756793062
2.405092716217041,39.82377052307129,25.110630833428125
2.4514613151550293,41.84913635253906,23.89535572672166
2.4988226890563965,41.765451431274414,23.943234557048015
2.546149730682373,41.60475730895996,24.03571285307416
2.5902929306030273,39.16311264038086,25.534231897821773
2.636837959289551,42.54865646362305,23.502504734901546
2.6811461448669434,39.24369812011719,25.48179829890644
2.733238697052002,47.138214111328125,21.21421056890831
2.780777931213379,42.24348068237305,23.672291767786795
2.8237922191619873,38.9552116394043,25.670506150927228
2.8659486770629883,36.501169204711914,27.39638268548698
2.9153525829315186,43.34735870361328,23.06945636151629
2.9626784324645996,41.79120063781738,23.92848218615398
3.007113218307495,39.43443298339844,25.358548972188633
3.05108642578125,38.579702377319336,25.920365849890306
3.096128225326538,40.51613807678223,24.681523152697764
3.138838529586792,37.674665451049805,26.54303596402964
3.180760622024536,38.00654411315918,26.311258319689358
3.2258784770965576,40.44842720031738,24.722840150188915
3.2741198539733887,42.17815399169922,23.70895606756054
3.3169915676116943,37.23311424255371,26.857812469984054
3.3622305393218994,39.70217704772949,25.187535655735243
3.404742479324341,37.31727600097656,26.797239969332992
3.452346086502075,42.27089881896973,23.656937229620354
3.4961578845977783,38.74826431274414,25.80760758543459
3.5427968502044678,42.474985122680664,23.54326898789243
3.591789722442627,42.54961013793945,23.501977967792186
3.7460970878601074,148.20098876953125,6.747593307593307
